Nombre;Sector;Palabras clave:;Fecha de incorporación al catálogo:;Fecha de actualización:;Fecha de obtención de datos desde:;Fecha de obtención de datos hasta:;Frecuencia de actualización:;Responsable del conjunto de datos:;Editor:;Licencia:;Lugar:;Formatos;Descargas;URL
Estado de apertura y cierre de los parques más representativos según alertas climatológicas y otras incidencias;medio-ambiente;cierre, parques, alertas, incidencias;15/10/2025;;;;sindefinir;Dirección General de Gestión del Agua y Zonas Verdes;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;zip,;2;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4091a881e87e9910VgnVCM100000891ecb1aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Límites administrativos actuales;urbanismo-infraestructuras;limites administrativos, termino municipal, distritos, barrios, secciones censales;02/10/2025;;;;mensual;Dirección General de Planificación Estratégica;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;json,shp,;183;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=26ffc1e85b3a9910VgnVCM100000891ecb1aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Tráfico. Semáforos con avisadores acústicos a demanda;transporte;tráfico, semáforos, avisadores, ciegos, invidentes, once;29/09/2025;02/10/2025;;30/09/2025;mensual;Dirección General de Gestión y Vigilancia de la Circulación;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,zip,xls,;64;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=9d8474ca41c59910VgnVCM200000f921e388RCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Relación de unidades orgánicas con sus códigos DIR3 para envío de facturas electrónicas (FACe);sector-publico;DIR3, facturas electrónicas, FACe, RUF;08/09/2025;08/09/2025;;;sindefinir;Dirección General de Presupuestos;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;218;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=0f4ae60f32829910VgnVCM200000f921e388RCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Contenedores de pilas en marquesinas de autobús;medio-ambiente;pilas, reciclaje, contenedores, marquesinas;18/07/2025;;;;anual;Empresa Municipal de Transportes, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,;33;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=001ffad6bbc18910VgnVCM200000f921e388RCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Programas de huertos urbanos del Ayuntamiento de Madrid: huertos urbanos comunitarios, huertos escolares sostenibles y huertos en centros municipales;medio-ambiente;huertos, urbanos, educación ambiental, sostenibilidad;02/07/2025;;;;anual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;xls,shp,;135;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=4a9658001a0c7910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Informe de satisfacción de las personas usuarias de los servicios funerarios de Madrid;seguridad;estudios de opinión, funeraria, servicios funerarios;23/06/2025;23/06/2025;;;anual;Empresa Municipal Servicios Funerarios de Madrid, S.A.;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;;826;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=0763bbc150c97910VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias de las actividades de educación y sensibilización ambiental;medio-ambiente;estudios de opinión, educación, sensibilización, ambiental;17/06/2025;18/06/2025;01/01/2023;31/12/2024;anual;Dirección General de Sostenibilidad y Control Ambiental;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;;740;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=98ccc5c30bd77910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Estudio de satisfacción de las personas usuarias de la Agencia Tributaria Madrid;hacienda;estudios de opinión, Agencia Tributaria Madrid, impuestos, contribuyente, tasas, atención, OAIC;30/06/2025;22/05/2025;;;anual;Agencia Tributaria de Madrid;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;csv,xls,;739;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=84ad1082d08f6910VgnVCM1000001d4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
Inventario de túneles urbanos centralizados;transporte;tuneles, aforos, movilidad, seguridad, tráfico;21/05/2025;;;;semestral;Dirección General de Conservación de Vías Públicas;Ayuntamiento de Madrid;https://datos.madrid.es/egob/catalogo/aviso-legal;Madrid,;shp,wms,;81;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=6f5f9b64171f6910VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default
