 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA
50066046;"100 Libros juntas";"";"1";"0";"";"";"2025-10-25 00:00:00.0";"2025-10-25 23:59:00.0";"19:00";"Dirigida por Marga Melià.  Tras compartir la lectura de casi cien libros a lo largo de una década, cinco mujeres jubiladas deciden celebrar el décimo aniversario de su club de lectura con un fin de semana en una hospedería en las montañas. Durante esta escapada, reflexionan sobre el impacto que estos encuentros han tenido en sus vidas y debaten, como siempre han hecho, sobre temas tanto cotidianos como trascendentales.  Duración: 80 min.  Edad Recomendada: no recomendada para menores de 7 años y distintivo Especialmente recomendada para el fomento de la igualdad de género.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=dce145cbf9a79910VgnVCM100000891ecb1aRCRD";"Actividades en el Centro Cultural San Francisco La Prensa";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d60f36edd371910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5787e842ec9a6110VgnVCM1000000b205a0aRCRD";"Centro Cultural San Francisco La Prensa (Carabanchel)";"1";"CALLE";"ALISEDA";"4";"CARABANCHEL";"PUERTA BONITA";"28025";"437044";"4469856";"40.37691447788016";"-3.7416256113806847";"/contenido/actividades/CineActividadesAudiovisuales";""
50042045;"1984";"";"0";"1";"M,X,J,V,S,D";"";"2026-03-03 00:00:00.0";"2026-04-05 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=14c40ad1e7919910VgnVCM200000f921e388RCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ba663d0b5e71c010VgnVCM1000000b205a0aRCRD";"Fernán Gómez Centro Cultural de la Villa";"1,6";"PLAZA";"COLON";"4";"SALAMANCA";"RECOLETOS";"28001";"441472";"4475155";"40.4249721516942";"-3.689948085098791";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";""
50068204;"20 años en barbecho";"";"1";"0";"";"";"2025-10-18 00:00:00.0";"2025-10-18 23:59:00.0";"20:30";"20 Años en Barbecho es una banda punk formada por gente que, aunque ya habían estado en otras bandas tenían esto un poco olvidado. Sus letras no se casan con nadie, son opiniones que no entienden de colores. Si te gusta, disfrútalo porque está hecho desde el corazón.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cc7d854b9b489910VgnVCM200000f921e388RCRD";"Bulevarte 2025";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f51520c295abb710VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1aaf38317117e210VgnVCM1000000b205a0aRCRD";"Jardín del Bulevar de Peña Gorbea";"2";"CALLE";"PEÑA GORBEA";"17";"PUENTE DE VALLECAS";"SAN DIEGO";"28053";"443393";"4471901";"40.3957812018463";"-3.6670346724676173";"/contenido/actividades/ActividadesCalleArteUrbano";""
50071434;"2º Ciclo Lunes con historia. España último refugio de los Neandertales";"";"1";"0";"";"";"2025-10-27 00:00:00.0";"2025-10-27 23:59:00.0";"19:00";"Ponente: Antonio Pérez Henares";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=904c07b127999910VgnVCM200000f921e388RCRD";"Actividades en el Centro Cultural Casa del Reloj";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b8ce2420dc891910VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8b063d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Casa del Reloj (Arganzuela)";"1";"PASEO";"CHOPERA";"6";"ARGANZUELA";"CHOPERA";"28045";"440559";"4471798";"40.39466755008527";"-3.700396761468562";"/contenido/actividades/ConferenciasColoquios";""
50052187;"39º Certamen Coreográfico de Madrid";"";"0";"1";"L,M,X,J,V,S,D";"";"2025-12-03 00:00:00.0";"2025-12-07 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=42781ae2c7839910VgnVCM100000891ecb1aRCRD";"39º Certamen Coreográfico de Madrid";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=669e365445339910VgnVCM200000f921e388RCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=64463d0b5e71c010VgnVCM1000000b205a0aRCRD";"Centro de Cultura Contemporánea Conde Duque";"1";"CALLE";"CONDE DUQUE";"9";"CENTRO";"UNIVERSIDAD";"28015";"439723";"4475438";"40.42739911262292";"-3.710589286287491";"/contenido/actividades/DanzaBaile";""
50071787;"4º Encuentro Iberoamericano de Arte y Cultura";"";"1";"1";"L,M,X,J,V,S";"";"2025-10-04 00:00:00.0";"2025-10-30 23:59:00.0";"";"La exposición refleja una selección de obras pictóricas, escultóricas y de collage de once artistas contemporáneos representantes de ocho países.  El 10 de octubre en la sala de exposiciones, se hará entrega de un diploma al director del 'Espacio Ronda de Madrid', D. Armando Lozano, por su labor de divulgación de la cultura, el conocimiento y las artes.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4b6e55e13f999910VgnVCM100000891ecb1aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6089ba61e681c010VgnVCM1000000b205a0aRCRD";"Auditorio y sala de exposiciones Paco de Lucía (Latina)";"1,6";"AVENIDA";"LAS AGUILAS";"2";"LATINA";"LAS AGUILAS";"28044";"435135";"4470763";"40.38493929920335";"-3.7641963952601154";"/contenido/actividades/Exposiciones";""
50065367;"A golpe de carcajadas";"";"1";"0";"";"";"2025-10-26 00:00:00.0";"2025-10-26 23:59:00.0";"12:00";"Compañía: Achusychusita.  Categoría: Infantil.  Edad recomendada:  Todos los públicos.   Duración: 60 minutos.  Sinopsis: El payaso Achús donde hace reír a golpe de carcajadas a grandes y pequeños, humor de antes de ahora todo vale para no perder detalle de este peculiar personaje. Sino le conoces te encantará y si repites? por algo será. Que empiece el combate.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=d866c92601679910VgnVCM200000f921e388RCRD";"Actividades en el Centro Cultural Meseta de Orcasitas";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=82fe2d24e6f61910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fbd91e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Cultural Meseta de Orcasitas (Usera)";"1";"PLAZA";"ASOCIACION";"1";"USERA";"ORCASITAS";"28041";"439882";"4469031";"40.36969488211539";"-3.7081179166391824";"/contenido/actividades/CuentacuentosTiteresMarionetas";"/usuario/Niños"
50079740;"A mí la legión (Romana). Paco Álvarez";"";"1";"0";"";"";"2025-10-28 00:00:00.0";"2025-10-28 23:59:00.0";"19:00";"TARDES ROMANAS EN ARGANZUELA   Tendremos un ciudadano que se irá poniendo el equipo de legionario y explicándonos cada una de sus piezas y armas; de paso aprenderemos qué es lo que hizo a la Legión el cuerpo de infantería mejor del mundo cuyo nombre todavía se conserva en los Cuerpos de élite de los ejércitos franceses y españoles. Alta tecnología de protección, la espada española; la primera arma de Toledo con fama mundial una mili larguísima, penurias, y con suerte, una parcelita para la jubilación. ¿Cómo era la vida en las filas del Ejército Imperial?";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a1ae62d5ef8a9910VgnVCM200000f921e388RCRD";"Actividades en el Centro Dotacional Integrado Arganzuela Ángel del Río";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0758c4a248991910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=f9ea79262ef5d010VgnVCM1000000b205a0aRCRD";"Centro Dotacional Integrado Arganzuela Ángel del Río";"1";"CALLE";"CANARIAS";"17";"ARGANZUELA";"PALOS DE LA FRONTERA";"28045";"440986";"4472656";"40.40242416544921";"-3.6954440062549017";"/contenido/actividades/ConferenciasColoquios";""
50013813;"Abierto x Obras - Exposición de Cristina Mejías  Lengua en coro, cuenta";"Entrada libre hasta completar aforo";"1";"1";"M,X,J,V,S,D";"";"2025-10-16 00:00:00.0";"2026-02-01 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=acaca2c35cf48910VgnVCM200000f921e388RCRD";"Abierto x Obras";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=92cca2c35cf48910VgnVCM200000f921e388RCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";""
50068855;"Abraza a tu niña interior";"";"1";"0";"";"";"2025-10-29 00:00:00.0";"2025-10-29 23:59:00.0";"18:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=59aa0c6b09589910VgnVCM200000f921e388RCRD";"Abraza a tu niña interior";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c92c9302fc9f9710VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e58c855a64315610VgnVCM2000001f4a900aRCRD";"Espacio de Igualdad Nieves Torres. Chamartín";"1";"CALLE";"ENRIQUE JARDIEL PONCELA";"8";"CHAMARTIN";"NUEVA ESPAÑA";"28016";"443189";"4479129";"40.46088981165102";"-3.6700689174427326";"/contenido/actividades/CursosTalleres";""
